what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.xsd.core,1.1.301.v200807240448,org.eclipse.wst.xsd.core,1224391170406
started,bundle,org.eclipse.jdt.apt.core,3.3.101.R34x_v20080902-1220,org.eclipse.jdt.apt.core,1224391170656
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.100.v20080407-1345,org.eclipse.jdt.apt.pluggable.core,1224391170656
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1224391178921
started,bundle,org.eclipse.ui.views.log,1.0.0.v20080803-1700,org.eclipse.ui.views.log,1224391179953
started,bundle,org.eclipse.pde.ui,3.4.0.v20080803-1700,org.eclipse.pde.ui,1224391180078
opened,view,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.PackageExplorer,1224391180250
opened,view,org.eclipse.mylyn.tasks.ui,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.tasks.ui.views.tasks,1224391180812
activated,perspective,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.JavaPerspective,1224391180875
activated,view,org.eclipse.ui.ide,3.4.1.M20080903-2000,org.eclipse.ui.views.ProblemView,1224391180875
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1224391191640
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1224391191640
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1224391191687
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1224391220437
activated,view,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.PackageExplorer,1224391221593
started,bundle,org.eclipse.ltk.core.refactoring,3.4.1.r341_v20080716-0800,org.eclipse.ltk.core.refactoring,1224391221781
started,bundle,org.eclipse.ltk.ui.refactoring,3.4.1.r341_v20080716-0800,org.eclipse.ltk.ui.refactoring,1224391221796
started,bundle,org.eclipse.compare,3.4.0.I20080604,org.eclipse.compare,1224391222093
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1224391225109
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1224391278421
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1224391285734
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1224391286750
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1224391289500
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1224391298406
opened,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1224391300453
