what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1224404227968
activated,view,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.PackageExplorer,1224404231796
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1224404251812
activated,view,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.PackageExplorer,1224404255390
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1224404258531
activated,view,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.PackageExplorer,1224404261250
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1224404265234
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1224404273515
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1224404304000
activated,view,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.PackageExplorer,1224404305296
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1224404308156
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1224404371906
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1224404381921
activated,view,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.PackageExplorer,1224404389906
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1224404398921
activated,view,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.PackageExplorer,1224404407312
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1224404408625
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1224404412609
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1224404426484
activated,view,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.PackageExplorer,1224404426640
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1224404429343
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1224404429437
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1224404429437
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1224404472609
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1224404474312
