what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1224397798390
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1224397799625
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1224397800578
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1224397967875
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1224397973250
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.text.contentAssist.proposals,1224397981671
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1224397986000
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1224397993343
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1224397995046
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1224398001140
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1224398005875
executed,command,org.eclipse.ui.ide,3.4.1.M20080903-2000,org.eclipse.ui.project.buildAll,1224398007625
executed,command,org.eclipse.debug.ui,3.4.1.v20080811_r341,org.eclipse.debug.ui.commands.RunLast,1224398011140
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1224398012640
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1224398016390
executed,command,org.eclipse.debug.ui,3.4.1.v20080811_r341,org.eclipse.debug.ui.commands.RunLast,1224398018890
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1224398020390
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1224398022984
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1224398024828
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1224398024890
activated,view,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.PackageExplorer,1224398029546
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1224398032140
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1224398032156
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1224398032234
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1224399245625
