what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1224395993015
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.undo,1224396006703
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1224396017625
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1224396024781
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1224396337328
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1224396337343
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1224396337390
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1224396401296
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1224396603437
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1224396611875
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1224396622390
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1224396642140
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1224396694125
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1224397209781
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1224397216875
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.text.contentAssist.proposals,1224397224375
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.text.contentAssist.proposals,1224397226671
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.text.contentAssist.proposals,1224397228515
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1224397230015
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1224397231140
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1224397234578
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1224397235531
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.text.contentAssist.proposals,1224397243390
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.text.contentAssist.proposals,1224397249375
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1224397253312
