what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.text.contentAssist.proposals,1224392955359
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1224392958000
activated,view,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.PackageExplorer,1224392959578
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1224392963156
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1224392966859
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.properties,1224392966953
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1224392971343
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1224392994125
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.properties,1224392994265
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1224392998781
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1224393009484
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.properties,1224393009625
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1224393010515
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.text.contentAssist.proposals,1224393020328
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.text.contentAssist.proposals,1224393035171
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1224393041359
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.text.contentAssist.proposals,1224393052843
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1224393053546
activated,view,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.PackageExplorer,1224393057437
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1224393066093
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1224393068156
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1224393069234
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.print,1224393069281
executed,command,org.eclipse.ui.ide,3.4.1.M20080903-2000,org.eclipse.ui.project.buildAll,1224393072125
activated,view,org.eclipse.ui.ide,3.4.1.M20080903-2000,org.eclipse.ui.views.ProblemView,1224393074078
